Price,Close,High,Low,Open,Volume
Ticker,ZS=F,ZS=F,ZS=F,ZS=F,ZS=F
Date,,,,,
2005-01-03,537.25,546.0,541.5,546.0,47
2005-01-04,529.75,536.5,535.5,536.5,54
2005-01-05,534.0,531.5,529.5,530.0,37
2005-01-06,541.75,536.25,534.5,534.5,35
2005-01-07,551.75,546.5,541.0,541.0,17
2005-01-10,560.0,550.25,549.25,550.25,65
2005-01-11,557.5,562.5,559.0,559.0,10
2005-01-12,554.0,555.0,555.0,555.0,11
2005-01-13,557.5,553.25,553.25,553.25,10
2005-01-14,542.0,557.5,557.5,557.5,3364
2005-01-18,513.5,518.5,512.5,518.0,684
2005-01-19,517.75,516.0,513.75,513.75,875
2005-01-20,523.25,518.0,515.75,517.5,484
2005-01-21,516.75,523.25,521.0,523.0,1279
2005-01-24,520.0,522.25,518.5,518.5,449
2005-01-25,526.0,521.5,517.0,519.5,570
2005-01-26,523.0,527.0,524.0,526.0,406
2005-01-27,515.75,522.5,520.0,522.0,859
2005-01-28,514.0,517.0,514.75,515.25,2050
2005-01-31,514.75,511.75,509.0,510.0,604
