categoria,item,unidad,cantidad_por_anio,precio_unit_usd,anio1_usd,anio2_usd,anio3_usd,anio4_a_6_usd,notas
MANO DE OBRA,Encargado de finca (full-time),mes,72,1200,86400,15120,15840,16560,Cantidad_por_anio=72 tal cual figura en la fuente; revisar si es un error de carga (72 meses no corresponde a un anio)
MANO DE OBRA,Operarios full-time permanentes (2),mes,12,700,8400,8820,9240,9660,
MANO DE OBRA,Poda de formacion (jornales),jornal,70,25,1750,1575,1650,1725,
MANO DE OBRA,Aplicaciones fitosanitarias,jornal,20,25,500,525,550,575,
MANO DE OBRA,Mantenimiento riego,jornal,15,25,375,394,413,431,
FERTILIZACION,Nitrogeno (Urea 46%),kg,1500,0.45,675,709,743,776,
FERTILIZACION,Fosforo (MAP),kg,800,0.8,640,672,704,736,
FERTILIZACION,Potasio (KCl),kg,600,0.55,330,346,363,379,
FERTILIZACION,Micronutrientes (Zinc Boro),kg,200,2.5,500,525,550,575,
FITOSANIDAD,Fungicidas (Captan Iprodione),litro,80,12,960,1008,1056,1104,
FITOSANIDAD,Insecticidas,litro,40,15,600,630,660,690,
FITOSANIDAD,Herbicidas (bajo planta),litro,60,8,480,504,528,552,
FITOSANIDAD,Aceites minerales,litro,100,5,500,525,550,575,
COMBUSTIBLE,Tractor (gasoil),litro,3000,0.9,2700,2835,2970,3105,
COMBUSTIBLE,Pulverizadora / bomba,litro,800,0.9,720,756,792,828,
ENERGIA,Bombeo riego electrico,kWh,45000,0.06,2700,2835,2970,3105,
ADMINISTRACION,Honorarios contador,mes,12,300,3600,3780,3960,4140,
ADMINISTRACION,Servicios (internet/cel/otros),mes,12,80,960,1008,1056,1104,
ADMINISTRACION,Seguros (finca + maquinaria),anio,1,3500,3500,3675,3850,4025,
ADMINISTRACION,"Impuestos y tasas (DGI, AFIP basico)",anio,1,1200,1200,1260,1320,1380,
ADMINISTRACION,Marketing/web,mes,12,150,1800,1890,1980,2070,
MANTENIMIENTO,Mantenimiento maquinaria,anio,1,4000,4000,4200,4400,4600,
MANTENIMIENTO,Mantenimiento riego,anio,1,2000,2000,2100,2200,2300,
MANTENIMIENTO,Reposicion plantas fallidas (5%),planta,250,4,1000,1050,1100,1150,
MANTENIMIENTO,"Material de poda (tijeras, sierras)",anio,1,500,500,525,550,575,
