anio,rendimiento_pct_plena,kg_ha,kg_total_fuente,precio_pesimista_usd_kg,precio_base_usd_kg,precio_optimista_usd_kg,ingreso_pesimista_usd,ingreso_base_usd,ingreso_optimista_usd
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,0.10,,,,,,67500,90000,123750
7,0.20,500,50000,6.0,8.0,11.0,135000,180000,247500
8,0.40,1800,180000,6.5,9.0,12.0,292500,405000,540000
9,0.60,1700,170000,6.5,9.0,12.0,438750,607500,810000
10,0.75,2300,230000,7.0,9.5,12.5,590625,801562,1054688
11,0.85,3000,300000,7.0,9.5,12.5,669375,908438,1195312
12,0.95,3000,300000,7.5,10.0,13.0,801562,1068750,1389375
13,1.00,2400,240000,7.5,10.0,13.0,843750,1125000,1462500
14,1.00,3000,300000,7.5,10.0,13.0,843750,1125000,1462500
15,0.95,3000,300000,8.0,10.5,13.5,855000,1122188,1442812
16,1.00,3000,300000,8.0,10.5,13.5,900000,1181250,1518750
17,1.00,3000,300000,8.0,11.0,14.0,900000,1237500,1575000
18,0.95,3000,300000,8.0,11.0,14.0,855000,1175625,1496250
19,1.00,3000,300000,8.5,11.0,14.5,956250,1237500,1631250
20,1.00,3000,300000,8.5,11.5,15.0,956250,1293750,1687500
